Generation,Average Fitness,Best Fitness,Standard Deviation,Average Hamming Distance
359,57.773600000000044,62.72,6.003255891622251,1.6718707070707064
360,57.7704,62.72,6.014084681329814,1.6758525252525254
361,57.924000000000035,62.72,6.026227851232295,1.6339151515151515
362,57.72880000000001,62.72,5.953532982694709,1.6908909090909092
363,57.82720000000001,62.72,6.053663445233975,1.6744787878787883
364,57.7688,62.72,5.966949371189863,1.690111111111111
365,57.72799999999998,62.72,6.034230238644458,1.6882585858585863
366,57.816,62.72,6.103758292043121,1.6694484848484845
367,57.73919999999999,62.72,5.9391055853157795,1.7040282828282833
368,57.94239999999999,62.8,6.036271043479568,1.6469232323232326
369,57.89039999999999,62.8,5.922333804949047,1.6535313131313125
370,57.77520000000001,62.8,5.89869288165744,1.6838929292929286
371,57.75519999999999,62.8,6.0162641576191955,1.6940646464646476
372,57.80160000000001,62.8,5.990737321104357,1.676624242424243
373,57.91199999999998,62.8,6.02617293671895,1.646262626262626
374,57.852800000000016,62.88,5.997558501204822,1.6679171717171715
375,57.9944,62.88,6.016139869516025,1.6317494949494955
376,58.0832,62.88,5.936806427307896,1.6263858585858584
377,57.99999999999999,62.88,5.927806634078007,1.6356888888888892
378,58.00799999999997,62.88,5.9387995388795245,1.6190484848484845
379,58.088,62.88,5.953133226374014,1.5976222222222232
380,58.00799999999998,62.88,5.872075453511247,1.6040949494949495
381,58.0112,62.88,6.025232334552566,1.5904040404040398
382,57.948,62.96,6.003472470792758,1.6079757575757574
383,57.85360000000001,62.96,5.973199150797378,1.642167676767677
384,57.907199999999996,62.96,6.064000568057209,1.64179797979798
385,57.95439999999999,62.96,6.043294467546916,1.6325252525252518
386,57.91440000000001,63.04,6.0367231445931875,1.6423252525252525
387,57.94240000000001,63.04,6.006862225236308,1.6264969696969698
388,57.977599999999995,63.04,6.062225969171452,1.6268181818181813
389,58.12720000000001,63.04,6.140412370120303,1.5913212121212121
390,58.04560000000001,63.12,6.03546968860714,1.6016646464646458
391,58.09280000000002,63.12,5.9939644625610855,1.5936828282828281
392,58.121600000000015,63.12,6.014406629174499,1.5932404040404036
393,58.059200000000004,63.12,6.047192883697776,1.6023111111111115
394,58.13039999999999,63.12,6.044075437996472,1.5528505050505053
395,58.1896,63.12,5.994579164484004,1.5418464646464647
396,58.17040000000001,63.12,6.0177113530502835,1.5488747474747484
397,58.1768,63.12,6.044413405978521,1.559634343434344
398,58.14640000000003,63.12,6.0576600413548825,1.5680020202020202
399,58.27200000000002,63.28,5.982677559434608,1.5414303030303032
400,58.1656,63.28,5.962880092560347,1.5753757575757579
401,58.32000000000002,63.28,6.019531357842304,1.54151111111111
402,58.26880000000001,63.36,5.964384442123288,1.5535898989898995
403,58.345600000000005,63.36,6.019867566603278,1.5150101010101005
404,58.396800000000006,63.36,5.951145748033619,1.5057292929292925
405,58.508,63.36,5.982406601204973,1.455151515151516
406,58.50000000000001,63.36,5.979077358875288,1.4560929292929299
407,58.37359999999998,63.36,5.94173295316723,1.4862707070707066
408,58.4888,63.36,6.041508269454102,1.452478787878787
409,58.425599999999974,63.36,5.983202561519409,1.4682585858585866
410,58.37519999999998,63.36,5.937916913473051,1.4789292929292939
411,58.32400000000001,63.36,6.050689223161912,1.4970808080808085
412,58.38400000000001,63.36,6.034581880756797,1.4763919191919188
413,58.36880000000002,63.36,6.044257492708962,1.4864444444444445
414,58.3096,63.36,5.997720012960738,1.5011333333333334
415,58.376,63.36,6.110734770060426,1.4933010101010107
416,58.39519999999999,63.36,6.08898804301055,1.486228282828283
417,58.32560000000003,63.36,5.993129671828618,1.4977434343434342
418,58.4392,63.36,6.0458775501182345,1.4758626262626264
419,58.26080000000002,63.36,5.98823861381729,1.5175979797979795
420,58.43360000000001,63.44,6.010825780850188,1.4751696969696968
421,58.376000000000005,63.44,6.01837926382981,1.504991919191919
422,58.46160000000003,63.44,6.069552002092614,1.4769111111111106
423,58.46639999999998,63.44,6.038401975483664,1.4782767676767676
424,58.392800000000015,63.44,6.09606708587165,1.4804222222222225
425,58.593600000000016,63.44,6.067910619140401,1.4275050505050504
426,58.5,63.44,6.014004251691788,1.4505515151515151
427,58.42959999999998,63.44,6.021564885137808,1.4716343434343435
428,58.56719999999999,63.44,6.055318333848117,1.441511111111111
429,58.55840000000002,63.44,6.031868940268587,1.4415717171717168
430,58.575200000000024,63.44,6.094276192875611,1.4396161616161618
431,58.41359999999998,63.44,5.949671777029031,1.4841393939393939
432,58.43519999999999,63.44,6.055662379174508,1.4784525252525256
433,58.391999999999996,63.44,5.98817866291717,1.4929616161616162
434,58.58080000000002,63.44,6.09555495029833,1.4382646464646462
435,58.395999999999994,63.44,5.958574599333907,1.49450101010101
436,58.50640000000002,63.44,6.094004483955452,1.4700404040404045
437,58.515199999999965,63.44,6.016196784796379,1.4618262626262637
438,58.54560000000002,63.44,6.001455481719145,1.462571717171717
439,58.44159999999997,63.44,5.948417640570695,1.482933333333333
440,58.40639999999999,63.44,6.051425882587207,1.4928161616161615
441,58.45279999999999,63.44,6.106553891722824,1.4782323232323236
442,58.57760000000003,63.44,6.0562705323733566,1.4536080808080805
443,58.50800000000004,63.44,5.98883983846883,1.4693636363636364
444,58.51360000000002,63.44,5.974948161869022,1.4691959595959594
445,58.48,63.44,5.949901193174965,1.485387878787879
446,58.55360000000002,63.44,6.007498356937501,1.4649393939393933
447,58.4384,63.44,6.003276751217792,1.4963818181818187
448,58.43920000000001,63.52,6.06718543166064,1.503812121212121
449,58.50960000000002,63.52,6.056575739362672,1.46889898989899
450,58.513600000000004,63.52,6.008287071168143,1.4800848484848488
451,58.53999999999997,63.52,6.0102331274544305,1.466367676767677
452,58.512,63.52,5.952451623375183,1.4632949494949494
453,58.546400000000034,63.52,6.068002750224646,1.454315151515151
454,58.45359999999999,63.52,6.034735486717497,1.4752969696969702
455,58.45119999999998,63.52,6.092175268971581,1.4693232323232315
456,58.53839999999998,63.52,6.081405531218933,1.4615595959595964
457,58.56560000000003,63.52,6.012718113752324,1.4510949494949494
458,58.7072,63.52,5.949092155809135,1.4040161616161617
459,58.62400000000002,63.52,5.999890879253557,1.4292828282828285
460,58.496,63.52,6.017355053558853,1.4582040404040404
461,58.49519999999998,63.52,6.070053681489091,1.4610646464646464
