Gen,AvgFit,BestFit 
679,150.5952000000001,189.76
680,149.7888,189.76
681,149.6424,189.76
682,150.10160000000002,189.76
683,149.8224,190.32
684,149.18400000000003,190.32
685,149.3752,190.32
686,148.95200000000006,190.32
687,149.56160000000003,190.32
688,149.96319999999997,190.32
689,149.73920000000004,190.32
690,150.16319999999996,190.32
691,150.91279999999998,190.32
692,150.32399999999998,190.32
693,150.11119999999997,190.32
694,149.75760000000005,190.32
695,150.05759999999998,190.32
696,150.696,190.32
697,150.1367999999999,190.32
698,149.80720000000002,190.88
699,150.13999999999993,190.88
700,149.96959999999996,190.88
701,150.5263999999999,190.88
702,150.63120000000004,190.88
703,150.34560000000002,190.88
704,150.59279999999993,190.88
705,150.4536,190.88
706,150.20080000000004,190.88
707,150.17600000000002,190.88
708,150.30559999999997,190.88
709,149.816,190.88
710,149.60959999999997,190.88
711,148.87599999999995,190.88
712,150.28160000000005,190.88
713,150.52959999999996,190.88
714,150.46240000000003,190.88
715,150.02720000000002,190.88
716,149.99199999999996,190.88
717,149.3656,190.88
718,150.96719999999996,190.88
719,150.00799999999998,190.88
720,150.86559999999997,190.88
721,150.58560000000003,190.88
722,150.7144,190.88
723,150.71039999999996,190.88
724,150.38000000000002,190.88
725,150.3784,190.88
726,151.00800000000004,190.88
727,151.01840000000004,190.88
728,150.68480000000002,190.88
729,150.68240000000003,190.88
730,151.0776,190.88
731,150.09999999999994,190.88
732,150.43999999999997,190.88
733,150.2648,190.88
734,149.97359999999998,190.88
735,150.836,190.88
736,150.40559999999994,190.88
737,150.3288,190.88
738,150.32880000000003,190.88
739,150.1576000000001,190.88
740,150.15999999999994,190.88
741,150.01360000000003,190.88
742,149.62879999999998,190.88
743,149.81680000000003,190.88
744,149.86800000000002,190.88
745,149.98079999999996,190.88
746,150.19040000000004,190.88
747,150.08640000000005,190.88
748,149.57920000000004,190.88
749,149.93920000000003,190.88
750,150.09599999999998,190.88
751,150.13599999999997,190.88
752,150.08479999999997,190.88
753,149.93839999999992,190.88
754,150.408,190.88
755,150.75120000000004,190.88
756,150.71119999999996,190.88
757,150.72639999999996,190.88
758,150.11360000000005,190.88
759,150.7496,191.44
760,149.87759999999997,190.88
761,149.81919999999994,190.88
762,148.96880000000002,190.88
763,149.40159999999997,190.88
764,149.50959999999998,190.88
765,149.6184,190.88
766,149.95200000000006,190.88
767,149.91200000000003,190.88
768,149.85680000000005,190.88
769,149.79919999999996,190.88
770,149.97840000000005,190.88
771,150.59360000000004,190.88
772,149.62079999999997,190.88
773,150.0984,190.88
774,149.49040000000005,190.88
775,150.40239999999997,190.88
776,150.3376,190.88
777,150.16080000000002,190.88
778,150.3512,190.88
779,150.38799999999992,190.88
780,150.4816,190.88
781,150.03680000000006,190.88
782,150.0448,190.88
783,150.60240000000005,190.88
784,151.40240000000003,190.88
785,150.1688,190.88
786,149.86960000000002,190.88
787,150.03519999999997,190.88
788,150.55120000000002,190.88
789,150.16320000000005,190.88
790,150.2496,190.88
791,150.7984,190.88
792,149.9184,190.88
793,149.9976,190.88
794,149.84079999999994,190.88
795,150.73359999999994,190.88
796,149.69359999999995,190.88
797,149.93999999999994,190.88
798,150.13360000000003,190.88
799,150.34479999999996,190.88

